Station name,Jan.,Feb,Mar.,Apr.,May,Jun.,Jul.,Aug.,Sep,Oct,Nov,Dec,Annual
Dhaka,72.0,60.0,57.0,60.0,69.0,83.0,82.0,83.0,80,93,*,*,*
Tangail,80.0,70.0,64.0,64.0,72.0,83.0,81.0,83.0,79,79,76,80,75
Mymensingh,85.0,75.0,74.0,74.0,80.0,84.0,85.0,87.0,82,83,*,*,*
Faridpur,78.0,68.0,65.0,66.0,75.0,85.0,84.0,86.0,83,80,76,79,77
Madaripur,80.0,74.0,70.0,69.0,76.0,87.0,85.0,86.0,85,85,81,83,80
Srimangal,84.0,75.0,70.0,71.0,77.0,83.0,84.0,86.0,83,84,82,84,80
Sylhet,76.0,65.0,60.0,67.0,77.0,87.0,86.0,89.0,79,80,74,76,76
Bogura,79.0,63.0,61.0,63.0,76.0,83.0,82.0,84.0,79,77,72,72,74
Dinajpur,83.0,73.0,66.0,69.0,78.0,81.0,82.0,86.0,81,83,77,76,77
Ishwardi,,,,,,,,,,,,,
Rajshahi,83.0,71.0,67.0,66.0,80.0,86.0,85.0,88.0,87,84,79,79,79
Rangpur,84.0,83.0,68.0,70.0,80.0,81.0,81.0,86.0,83,83,78,77,78
Syedpur,,,,,,,,,,,,,
chuadanga,,,,,,,,,,,,,
Jashore,77.0,69.0,65.0,66.0,74.0,84.0,84.0,85.0,84,81,80,*,*
Khulna,78.0,72.0,69.0,66.0,66.0,72.0,72.0,84.0,84,85,85,82,76
Mongla,,,,,,,,,,,,,
Satkhira,77.0,72.0,71.0,68.0,73.0,84.0,84.0,84.0,85,81,76,80,77
Barishal,81.0,75.0,73.0,73.0,78.0,90.0,88.0,88.0,86,86,82,84,82
Bhola,82.0,76.0,75.0,75.0,78.0,89.0,88.0,88.0,87,86,81,95,83
Khepupara,78.0,73.0,76.0,74.0,78.0,87.0,87.0,89.0,89,87,80,82,81
Patuakhali,87.0,77.0,82.0,84.0,90.0,93.0,90.0,90.0,88,85,79,85,85
Chandpur,78.0,71.0,68.0,70.0,75.0,88.0,85.0,86.0,85,83,78,81,79
Teknaf,83.0,70.0,75.0,76.0,77.0,88.0,89.0,87.0,93,94,*,*,*
Ambagan(Ctg),83.0,67.0,69.0,75.0,75.0,86.0,86.0,86.0,*,*,*,*,*
Cumilla,78.0,71.0,72.0,73.0,75.0,86.0,85.0,86.0,83,82,78,80,79
Cox's Bazar,,,,,,,,,,,,,
Feni,75.0,70.0,69.0,68.0,71.0,85.0,84.0,85.0,80,81,76,78,76
Hatiya,82.0,77.0,78.0,77.0,82.0,91.0,90.0,90.0,89,89,88,*,*
Kutubdia,74.0,73.0,75.0,77.0,76.0,86.0,86.0,86.0,83,82,74,*,*
M.court,76.0,69.0,71.0,70.0,75.0,88.0,86.0,87.0,84,82,76,81,78
Rangamati,75.0,68.0,62.0,64.0,66.0,80.0,79.0,77.0,75,77,79,79,73
Sandwip,80.0,75.0,76.0,76.0,78.0,88.0,88.0,88.0,84,84,81,81,81
Chittagong,70.0,67.0,66.0,72.0,74.0,85.0,86.0,87.0,82,80,81,68,76
Sitakunda,82.0,75.0,75.0,73.0,73.0,80.0,75.0,74.0,71,74,74,83,75
Gopalgonj,,,,,,,,,,,,,
Tarash,,,,,,,,,,,,,
Netrokona,,,,,,,,,,,,,
Rajarhat,,,,,,,,,,,,,
Badalgachhi,,,,,,,,,,,,,
Dimla,,,,,,,,,,,,,
Netrokona,,,,,,,,,,,,,
