Station,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Dhaka,0.0,0.0,3.0,39.0,216,546.0,333.0,249.0,141.0,64.0,,,
Tangail,0.0,0.0,8.0,58.0,200,546.0,171.0,459.0,109.0,221.0,7.0,38.0,1817
Mymensingh,0.0,0.0,2.0,42.0,289,430.0,265.0,504.0,61.0,188.0,,,
Faridpur,0.0,0.0,0.0,18.0,175,317.0,465.0,362.0,124.0,70.0,29.0,174.0,1734
Madaripur,0.0,0.0,1.0,42.0,166,427.0,357.0,192.0,139.0,81.0,27.0,113.0,
Srimangal,3.0,0.0,109.0,39.0,236,172.0,295.0,428.0,189.0,166.0,2.0,66.0,1705
Sylhet,0.0,0.0,127.0,143.0,290,664.0,703.0,928.0,200.0,240.0,0.0,14.0,3309
Bogura,0.0,0.0,6.0,24.0,274,391.0,278.0,412.0,117.0,93.0,0.0,1.0,1596
Dinajpur,0.0,0.0,0.0,22.0,278,273.0,180.0,407.0,144.0,442.0,0.0,5.0,1751
Ishwardi,0.0,0.0,1.0,41.0,179,396.0,315.0,324.0,182.0,114.0,18.0,18.0,1588
Rajshahi,0.0,0.0,0.0,15.0,140,263.0,325.0,542.0,135.0,116.0,1.0,1.0,1538
Rangpur,0.0,0.0,4.0,27.0,****,201.0,194.0,466.0,193.0,384.0,0.0,2.0,******
Syedpur,0.0,0.0,0.0,53.0,316,218.0,318.0,540.0,235.0,351.0,0.0,0.0,2031
Chuadanga,0.0,0.0,13.0,6.0,224,275.0,322.0,515.0,154.0,61.0,37.0,37.0,1644
Jashore,0.0,1.0,0.0,99.0,159,365.0,328.0,254.0,334.0,167.0,45.0,0.0,1752
Khulna,0.0,3.0,0.0,2.0,2,124.0,135.0,469.0,524.0,203.0,339.0,234.0,2035
Mongla,0.0,0.0,0.0,0.0,187,430.0,867.0,338.0,408.0,251.0,2.0,2.0,2485
Satkhira,0.0,3.0,0.0,1.0,122,440.0,472.0,248.0,351.0,217.0,3.0,87.0,1944
Barishal,0.0,1.0,1.0,0.0,50,404.0,379.0,296.0,244.0,277.0,1.0,69.0,1722
Bhola,0.0,1.0,0.0,2.0,77,654.0,402.0,363.0,197.0,240.0,2.0,68.0,2006
Khapupara,4.0,0.0,0.0,0.0,123,554.0,836.0,426.0,344.0,278.0,0.0,50.0,2615
Patuakhali,0.0,0.0,0.0,1.0,70,541.0,780.0,447.0,296.0,249.0,2.0,71.0,2457
Chandpur,2.0,0.0,2.0,3.0,87,437.0,391.0,419.0,261.0,196.0,30.0,126.0,1954
Ambagan(Ctg),0.0,0.0,0.0,21.0,187,743.0,904.0,685.0,,,,,
Chattogram,0.0,0.0,0.0,2.0,130,793.0,1071.0,735.0,364.0,234.0,234.0,0.0,3563
Cumilla,0.0,0.0,0.0,3.0,132,258.0,636.0,288.0,544.0,118.0,36.0,164.0,2179
Cox`s Bazar,0.0,0.0,0.0,46.0,160,731.0,1097.0,995.0,266.0,112.0,39.0,39.0,3485
Feni,0.0,0.0,0.0,16.0,75,530.0,792.0,439.0,296.0,193.0,19.0,89.0,2449
Hatia,1.0,0.0,0.0,2.0,170,953.0,795.0,801.0,322.0,169.0,,,
Kutubdia,0.0,0.0,0.0,11.0,100,816.0,1145.0,893.0,228.0,215.0,,,
Maijdee Court,0.0,0.0,0.0,6.0,158,639.0,551.0,449.0,233.0,212.0,0.0,92.0,2340
Rangamat,0.0,0.0,0.0,32.0,99,375.0,478.0,568.0,231.0,146.0,0.0,73.0,2002
Sandwip,0.0,0.0,0.0,0.0,137,754.0,866.0,894.0,372.0,137.0,0.0,61.0,3221
Sitakunda,0.0,0.0,0.0,3.0,74,1072.0,716.0,672.0,221.0,196.0,,,
Teknaf,0.0,0.0,0.0,12.0,59,874.0,1068.0,594.0,99.0,18.0,,,
Gopalgonj,,,,,,,,,,,,,
Tarash,,,,,,,,,,,,,
Netrokona,,,,,,,,,,,,,
Rajarhat,,,,,,,,,,,,,
Badalgachhi,,,,,,,,,,,,,
Dimla,,,,,,,,,,,,,
Netrokonai,,,,,,,,,,,,,
